date,team,points,mp
3/31/2013,Arsenal,53,30
3/31/2013,Everton,51,30
3/31/2013,Liverpool,45,30
3/31/2013,West Brom,44,31
3/31/2013,Swansea City,40,31
3/31/2013,Fulham,36,29
3/31/2013,West Ham,36,30
3/31/2013,Southampton,34,31
3/31/2013,Stoke City,34,31
3/31/2013,Norwich City,34,31
3/31/2013,Newcastle Utd,33,31
3/31/2013,Sunderland,31,31
3/31/2013,Wigan Athletic,30,30
3/31/2013,Aston Villa,30,30
3/31/2013,QPR,23,30
3/31/2013,Reading,23,31
4/1/2013,Manchester Utd,77,30
4/1/2013,Manchester City,62,30
4/1/2013,Tottenham,57,31
4/1/2013,Chelsea,55,30
4/1/2013,Arsenal,53,30
4/1/2013,Everton,51,30
4/1/2013,Liverpool,48,31
4/1/2013,West Brom,44,31
4/1/2013,Swansea City,40,31
4/1/2013,Fulham,36,29
4/1/2013,West Ham,36,30
4/1/2013,Southampton,34,31
4/1/2013,Stoke City,34,31
4/1/2013,Norwich City,34,31
4/1/2013,Newcastle Utd,33,31
4/1/2013,Sunderland,31,31
4/1/2013,Wigan Athletic,30,30
4/1/2013,Aston Villa,30,31
4/1/2013,QPR,23,30
4/1/2013,Reading,23,31
4/6/2013,Manchester Utd,77,30
4/6/2013,Manchester City,62,30
4/6/2013,Tottenham,57,31
4/6/2013,Chelsea,55,30
4/6/2013,Arsenal,53,30
4/6/2013,Everton,51,30
4/6/2013,Liverpool,48,31
4/6/2013,West Brom,44,31
4/6/2013,Swansea City,40,31
4/6/2013,Fulham,39,30
4/6/2013,West Ham,36,30
4/6/2013,Southampton,34,31
4/6/2013,Stoke City,34,31
4/6/2013,Norwich City,34,31
4/6/2013,Newcastle Utd,33,31
4/6/2013,Sunderland,31,31
4/6/2013,Wigan Athletic,30,30
4/6/2013,Aston Villa,30,31
4/6/2013,QPR,23,31
4/6/2013,Reading,23,31
4/7/2013,Manchester Utd,77,30
4/7/2013,Manchester City,62,30
4/7/2013,Tottenham,57,31
4/7/2013,Arsenal,56,31
4/7/2013,Chelsea,55,30
4/7/2013,Everton,51,30
4/7/2013,Liverpool,48,31
4/7/2013,West Brom,44,32
4/7/2013,Swansea City,41,32
4/7/2013,Fulham,39,30
4/7/2013,Southampton,37,32
4/7/2013,West Ham,36,30
4/7/2013,Norwich City,35,32
4/7/2013,Stoke City,34,32
4/7/2013,Newcastle Utd,33,31
4/7/2013,Aston Villa,33,32
4/7/2013,Sunderland,31,31
4/7/2013,Wigan Athletic,30,30
4/7/2013,QPR,23,31
4/7/2013,Reading,23,32
4/8/2013,Manchester Utd,77,30
4/8/2013,Manchester City,62,30
4/8/2013,Chelsea,58,31
4/8/2013,Tottenham,58,32
4/8/2013,Arsenal,56,31
4/8/2013,Everton,52,31
4/8/2013,Liverpool,49,32
4/8/2013,West Brom,44,32
4/8/2013,Swansea City,41,32
4/8/2013,Fulham,39,31
4/8/2013,Southampton,37,32
4/8/2013,West Ham,37,31
4/8/2013,Newcastle Utd,36,32
4/8/2013,Norwich City,35,32
4/8/2013,Stoke City,34,32
4/8/2013,Aston Villa,33,32
4/8/2013,Sunderland,31,32
4/8/2013,Wigan Athletic,31,31
4/8/2013,QPR,24,32
4/8/2013,Reading,23,32
4/13/2013,Manchester Utd,77,31
4/13/2013,Manchester City,65,31
4/13/2013,Chelsea,58,31
4/13/2013,Tottenham,58,32
4/13/2013,Arsenal,56,31
4/13/2013,Everton,52,31
4/13/2013,Liverpool,49,32
4/13/2013,West Brom,44,32
4/13/2013,Swansea City,41,32
4/13/2013,Fulham,39,31
4/13/2013,Southampton,37,32
4/13/2013,West Ham,37,31
4/13/2013,Newcastle Utd,36,32
4/13/2013,Norwich City,35,32
4/13/2013,Stoke City,34,32
4/13/2013,Aston Villa,33,32
4/13/2013,Sunderland,31,32
4/13/2013,Wigan Athletic,31,31
4/13/2013,QPR,24,32
4/13/2013,Reading,23,32
4/14/2013,Manchester Utd,77,31
4/14/2013,Manchester City,65,31
4/14/2013,Arsenal,59,32
4/14/2013,Chelsea,58,31
4/14/2013,Tottenham,58,32
4/14/2013,Everton,55,32
4/14/2013,Liverpool,50,33
4/14/2013,West Brom,44,32
4/14/2013,Swansea City,41,32
4/14/2013,Fulham,40,32
4/14/2013,Southampton,38,33
4/14/2013,West Ham,38,32
4/14/2013,Newcastle Utd,36,32
4/14/2013,Norwich City,35,33
4/14/2013,Stoke City,34,32
4/14/2013,Aston Villa,34,33
4/14/2013,Sunderland,31,32
4/14/2013,Wigan Athletic,31,31
4/14/2013,QPR,24,33
4/14/2013,Reading,24,33
4/16/2013,Manchester Utd,80,32
4/16/2013,Manchester City,65,31
4/16/2013,Arsenal,59,32
4/16/2013,Chelsea,58,31
4/16/2013,Tottenham,58,32
4/16/2013,Everton,55,32
4/16/2013,Liverpool,50,33
4/16/2013,West Brom,44,32
4/16/2013,Swansea City,41,32
4/16/2013,Fulham,40,32
4/16/2013,Southampton,38,33
4/16/2013,West Ham,38,32
4/16/2013,Newcastle Utd,36,33
4/16/2013,Norwich City,35,33
4/16/2013,Sunderland,34,33
4/16/2013,Stoke City,34,33
4/16/2013,Aston Villa,34,33
4/16/2013,Wigan Athletic,31,31
4/16/2013,QPR,24,33
4/16/2013,Reading,24,33
4/17/2013,Manchester Utd,80,32
4/17/2013,Manchester City,65,31
4/17/2013,Arsenal,60,33
4/17/2013,Chelsea,58,31
4/17/2013,Tottenham,58,32
4/17/2013,Everton,56,33
4/17/2013,Liverpool,50,33
4/17/2013,West Brom,44,32
4/17/2013,Swansea City,41,32
4/17/2013,Fulham,40,32
4/17/2013,Southampton,38,33
4/17/2013,West Ham,38,32
4/17/2013,Newcastle Utd,36,33
4/17/2013,Norwich City,35,33
4/17/2013,Sunderland,34,33
4/17/2013,Stoke City,34,33
4/17/2013,Aston Villa,34,33
4/17/2013,Wigan Athletic,31,31
4/17/2013,QPR,24,33
4/17/2013,Reading,24,33
4/20/2013,Manchester Utd,81,33
4/20/2013,Manchester City,68,32
4/20/2013,Chelsea,61,32
4/20/2013,Arsenal,60,33
4/20/2013,Tottenham,58,32
4/20/2013,Everton,56,33
4/20/2013,Liverpool,50,33
4/20/2013,West Brom,44,32
