date,team,points,mp
3/1/2016,Liverpool,38,26
3/1/2016,Watford,37,27
3/1/2016,Chelsea,36,27
3/1/2016,Everton,35,26
3/1/2016,West Brom,35,27
3/1/2016,Crystal Palace,32,27
3/1/2016,Bournemouth,29,27
3/1/2016,Swansea City,27,27
3/1/2016,Norwich City,24,27
3/1/2016,Newcastle Utd,24,26
3/1/2016,Sunderland,23,27
3/1/2016,Aston Villa,16,27
3/2/2016,Leicester City,57,28
3/2/2016,Tottenham,54,27
3/2/2016,Arsenal,51,27
3/2/2016,Manchester City,47,26
3/2/2016,Manchester Utd,44,27
3/2/2016,West Ham,43,27
3/2/2016,Southampton,40,28
3/2/2016,Chelsea,39,28
3/2/2016,Stoke City,39,27
3/2/2016,Everton,38,27
3/2/2016,Liverpool,38,26
3/2/2016,Watford,37,27
3/2/2016,West Brom,36,28
3/2/2016,Crystal Palace,33,28
3/2/2016,Bournemouth,32,28
3/2/2016,Swansea City,27,27
3/2/2016,Sunderland,24,28
3/2/2016,Norwich City,24,28
3/2/2016,Newcastle Utd,24,26
3/2/2016,Aston Villa,16,28
3/5/2016,Leicester City,57,28
3/5/2016,Tottenham,54,28
3/5/2016,Arsenal,51,28
3/5/2016,Manchester City,47,27
3/5/2016,Manchester Utd,47,28
3/5/2016,West Ham,46,28
3/5/2016,Stoke City,42,28
3/5/2016,Liverpool,41,27
3/5/2016,Southampton,40,28
3/5/2016,Chelsea,39,28
3/5/2016,Everton,38,27
3/5/2016,Watford,37,28
3/5/2016,West Brom,36,28
3/5/2016,Crystal Palace,33,28
3/5/2016,Bournemouth,32,28
3/5/2016,Swansea City,30,28
3/5/2016,Sunderland,24,28
3/5/2016,Norwich City,24,28
3/5/2016,Newcastle Utd,24,27
3/5/2016,Aston Villa,16,28
3/6/2016,Leicester City,60,29
3/6/2016,Tottenham,55,29
3/6/2016,Arsenal,52,29
3/6/2016,Manchester City,50,28
3/6/2016,West Ham,49,29
3/6/2016,Manchester Utd,47,28
3/6/2016,Stoke City,43,29
3/6/2016,Southampton,41,29
3/6/2016,Liverpool,41,27
3/6/2016,Chelsea,40,29
3/6/2016,Everton,38,28
3/6/2016,Watford,37,29
3/6/2016,West Brom,36,28
3/6/2016,Bournemouth,35,29
3/6/2016,Crystal Palace,33,28
3/6/2016,Swansea City,33,29
3/6/2016,Sunderland,25,29
3/6/2016,Norwich City,24,29
3/6/2016,Newcastle Utd,24,28
3/6/2016,Aston Villa,16,29
3/12/2016,Leicester City,60,29
3/12/2016,Tottenham,55,29
3/12/2016,Arsenal,52,29
3/12/2016,Manchester City,50,28
3/12/2016,West Ham,49,29
3/12/2016,Manchester Utd,47,29
3/12/2016,Liverpool,44,28
3/12/2016,Stoke City,43,29
3/12/2016,Southampton,41,29
3/12/2016,Chelsea,40,29
3/12/2016,West Brom,39,29
3/12/2016,Everton,38,28
3/12/2016,Watford,37,29
3/12/2016,Bournemouth,35,29
3/12/2016,Crystal Palace,33,29
3/12/2016,Swansea City,33,29
3/12/2016,Sunderland,25,29
3/12/2016,Norwich City,24,29
3/12/2016,Newcastle Utd,24,28
3/12/2016,Aston Villa,16,29
3/13/2016,Leicester City,60,29
3/13/2016,Tottenham,55,29
3/13/2016,Arsenal,52,29
3/13/2016,Manchester City,51,29
3/13/2016,West Ham,49,29
3/13/2016,Manchester Utd,47,29
3/13/2016,Southampton,44,30
3/13/2016,Liverpool,44,28
3/13/2016,Stoke City,43,30
3/13/2016,Chelsea,40,29
3/13/2016,West Brom,39,29
3/13/2016,Everton,38,28
3/13/2016,Bournemouth,38,30
3/13/2016,Watford,37,29
3/13/2016,Crystal Palace,33,29
3/13/2016,Swansea City,33,30
3/13/2016,Sunderland,25,29
3/13/2016,Norwich City,25,30
3/13/2016,Newcastle Utd,24,28
3/13/2016,Aston Villa,16,29
3/14/2016,Leicester City,60,29
3/14/2016,Tottenham,58,30
3/14/2016,Arsenal,52,29
3/14/2016,Manchester City,51,29
3/14/2016,West Ham,49,29
3/14/2016,Manchester Utd,47,29
3/14/2016,Southampton,44,30
3/14/2016,Liverpool,44,28
3/14/2016,Stoke City,43,30
3/14/2016,Chelsea,40,29
3/14/2016,West Brom,39,29
3/14/2016,Everton,38,28
3/14/2016,Bournemouth,38,30
3/14/2016,Watford,37,29
3/14/2016,Crystal Palace,33,29
3/14/2016,Swansea City,33,30
3/14/2016,Sunderland,25,29
3/14/2016,Norwich City,25,30
3/14/2016,Newcastle Utd,24,28
3/14/2016,Aston Villa,16,30
3/19/2016,Leicester City,63,30
3/19/2016,Tottenham,58,30
3/19/2016,Arsenal,52,29
3/19/2016,Manchester City,51,29
3/19/2016,West Ham,49,29
3/19/2016,Manchester Utd,47,29
3/19/2016,Southampton,44,30
3/19/2016,Liverpool,44,28
3/19/2016,Stoke City,43,30
3/19/2016,Chelsea,40,29
3/19/2016,West Brom,39,29
3/19/2016,Everton,38,28
3/19/2016,Bournemouth,38,30
3/19/2016,Watford,37,29
3/19/2016,Crystal Palace,33,29
3/19/2016,Swansea City,33,30
3/19/2016,Sunderland,25,29
3/19/2016,Norwich City,25,30
3/19/2016,Newcastle Utd,24,29
3/19/2016,Aston Villa,16,30
3/20/2016,Leicester City,66,31
3/20/2016,Tottenham,58,30
3/20/2016,Arsenal,55,30
3/20/2016,Manchester City,51,29
3/20/2016,West Ham,50,30
3/20/2016,Manchester Utd,47,29
3/20/2016,Stoke City,46,31
3/20/2016,Southampton,44,30
3/20/2016,Liverpool,44,28
3/20/2016,Chelsea,41,30
3/20/2016,West Brom,39,30
3/20/2016,Everton,38,29
3/20/2016,Bournemouth,38,30
3/20/2016,Watford,37,30
3/20/2016,Swansea City,36,31
3/20/2016,Crystal Palace,33,30
3/20/2016,Norwich City,28,31
3/20/2016,Sunderland,25,29
3/20/2016,Newcastle Utd,24,29
3/20/2016,Aston Villa,16,31
4/2/2016,Leicester City,66,31
4/2/2016,Tottenham,61,31
4/2/2016,Arsenal,55,30
4/2/2016,Manchester City,51,30
4/2/2016,West Ham,50,30
4/2/2016,Manchester Utd,50,30
4/2/2016,Southampton,47,31
4/2/2016,Stoke City,46,31
4/2/2016,Liverpool,44,29
4/2/2016,Chelsea,41,30
4/2/2016,West Brom,39,30
4/2/2016,Everton,38,29
4/2/2016,Bournemouth,38,31
4/2/2016,Watford,37,30
4/2/2016,Swansea City,36,31
4/2/2016,Crystal Palace,33,30
4/2/2016,Norwich City,28,31
4/2/2016,Sunderland,26,30
4/2/2016,Newcastle Utd,25,30
4/2/2016,Aston Villa,16,31
4/3/2016,Leicester City,66,31
4/3/2016,Tottenham,62,32
4/3/2016,Arsenal,58,31
4/3/2016,Manchester City,54,31
4/3/2016,West Ham,51,31
4/3/2016,Manchester Utd,50,30
4/3/2016,Southampton,47,31
4/3/2016,Stoke City,47,32
4/3/2016,Liverpool,45,30
4/3/2016,Chelsea,44,31
4/3/2016,West Brom,40,31
4/3/2016,Everton,38,29
4/3/2016,Bournemouth,38,32
4/3/2016,Watford,37,31
4/3/2016,Swansea City,37,32
4/3/2016,Crystal Palace,34,31
4/3/2016,Norwich City,31,32
4/3/2016,Sunderland,27,31
4/3/2016,Newcastle Utd,25,31
4/3/2016,Aston Villa,16,32
4/9/2016,Leicester City,69,32
4/9/2016,Tottenham,62,32
4/9/2016,Arsenal,58,31
4/9/2016,Manchester City,54,31
4/9/2016,Manchester Utd,53,31
4/9/2016,West Ham,51,31
4/9/2016,Southampton,47,32
4/9/2016,Stoke City,47,32
4/9/2016,Liverpool,45,30
4/9/2016,Chelsea,44,31
4/9/2016,West Brom,40,31
4/9/2016,Everton,38,30
4/9/2016,Bournemouth,38,32
4/9/2016,Watford,37,31
4/9/2016,Swansea City,37,32
4/9/2016,Crystal Palace,34,31
4/9/2016,Norwich City,31,32
4/9/2016,Sunderland,27,31
4/9/2016,Newcastle Utd,25,31
4/9/2016,Aston Villa,16,32
4/10/2016,Leicester City,69,32
4/10/2016,Tottenham,62,32
4/10/2016,Arsenal,59,32
4/10/2016,Manchester City,57,32
4/10/2016,Manchester Utd,53,31
4/10/2016,West Ham,52,32
4/10/2016,Southampton,50,33
4/10/2016,Stoke City,47,32
4/10/2016,Liverpool,45,30
4/10/2016,Chelsea,44,32
4/10/2016,Bournemouth,41,33
4/10/2016,Swansea City,40,33
4/10/2016,West Brom,40,32
4/10/2016,Everton,39,31
4/10/2016,Watford,38,32
4/10/2016,Crystal Palace,37,32
4/10/2016,Norwich City,31,33
4/10/2016,Sunderland,27,31
4/10/2016,Newcastle Utd,25,32
4/10/2016,Aston Villa,16,33
4/13/2016,Leicester City,72,33
4/13/2016,Tottenham,65,33
4/13/2016,Arsenal,59,32
4/13/2016,Manchester City,57,32
4/13/2016,Manchester Utd,53,32
4/13/2016,West Ham,52,32
4/13/2016,Southampton,50,33
4/13/2016,Liverpool,48,31
4/13/2016,Stoke City,47,33
4/13/2016,Chelsea,44,32
4/13/2016,Bournemouth,41,33
4/13/2016,Swansea City,40,33
4/13/2016,West Brom,40,32
4/13/2016,Everton,39,31
4/13/2016,Watford,38,32
4/13/2016,Crystal Palace,37,32
4/13/2016,Norwich City,31,33
4/13/2016,Sunderland,27,32
4/13/2016,Newcastle Utd,25,32
4/13/2016,Aston Villa,16,33
4/16/2016,Leicester City,72,33
4/16/2016,Tottenham,65,33
4/16/2016,Arsenal,59,32
4/16/2016,Manchester City,57,32
4/16/2016,Manchester Utd,53,32
4/16/2016,West Ham,52,32
4/16/2016,Southampton,50,33
4/16/2016,Liverpool,48,31
4/16/2016,Stoke City,47,33
4/16/2016,Chelsea,44,32
4/16/2016,Bournemouth,41,33
4/16/2016,Everton,40,32
4/16/2016,Swansea City,40,33
4/16/2016,West Brom,40,32
4/16/2016,Watford,38,32
4/16/2016,Crystal Palace,38,33
4/16/2016,Norwich City,31,33
4/16/2016,Sunderland,27,32
4/16/2016,Newcastle Utd,25,32
4/16/2016,Aston Villa,16,33
4/17/2016,Leicester City,72,33
4/17/2016,Tottenham,65,33
4/17/2016,Manchester City,60,33
4/17/2016,Arsenal,59,32
4/17/2016,Manchester Utd,56,33
4/17/2016,West Ham,52,32
4/17/2016,Southampton,51,34
4/17/2016,Liverpool,48,31
4/17/2016,Stoke City,47,33
4/17/2016,Chelsea,44,33
4/17/2016,Everton,41,33
4/17/2016,Watford,41,33
4/17/2016,Bournemouth,41,33
4/17/2016,West Brom,40,33
4/17/2016,Swansea City,40,34
4/17/2016,Crystal Palace,38,33
4/17/2016,Norwich City,31,34
4/17/2016,Sunderland,30,33
4/17/2016,Newcastle Utd,28,33
4/17/2016,Aston Villa,16,34
4/18/2016,Leicester City,73,34
4/18/2016,Tottenham,65,33
4/18/2016,Manchester City,60,33
4/18/2016,Arsenal,60,33
4/18/2016,Manchester Utd,56,33
4/18/2016,West Ham,53,33
4/18/2016,Southampton,51,34
4/18/2016,Liverpool,51,32
4/18/2016,Stoke City,47,33
4/18/2016,Chelsea,44,33
4/18/2016,Everton,41,33
4/18/2016,Watford,41,33
4/18/2016,Bournemouth,41,34
4/18/2016,West Brom,40,33
4/18/2016,Swansea City,40,34
4/18/2016,Crystal Palace,39,34
4/18/2016,Norwich City,31,34
4/18/2016,Sunderland,30,33
4/18/2016,Newcastle Utd,28,33
4/18/2016,Aston Villa,16,34
4/19/2016,Leicester City,73,34
4/19/2016,Tottenham,68,34
4/19/2016,Manchester City,60,33
4/19/2016,Arsenal,60,33
4/19/2016,Manchester Utd,56,33
4/19/2016,West Ham,53,33
4/19/2016,Southampton,51,34
4/19/2016,Liverpool,51,32
4/19/2016,Stoke City,47,34
4/19/2016,Chelsea,44,33
4/19/2016,Everton,41,33
4/19/2016,Watford,41,33
4/19/2016,Bournemouth,41,34
4/19/2016,West Brom,40,33
4/19/2016,Swansea City,40,34
4/19/2016,Crystal Palace,39,34
4/19/2016,Norwich City,31,34
4/19/2016,Sunderland,30,33
4/19/2016,Newcastle Utd,28,33
4/19/2016,Aston Villa,16,34
4/20/2016,Leicester City,73,34
4/20/2016,Tottenham,68,34
4/20/2016,Manchester City,61,34
4/20/2016,Arsenal,60,33
4/20/2016,Manchester Utd,56,33
4/20/2016,West Ham,53,33
4/20/2016,Southampton,51,34
4/20/2016,Liverpool,51,32
4/20/2016,Stoke City,47,34
4/20/2016,Chelsea,44,33
4/20/2016,Everton,41,33
4/20/2016,Watford,41,33
4/20/2016,Bournemouth,41,34
4/20/2016,West Brom,40,33
4/20/2016,Swansea City,40,34
4/20/2016,Crystal Palace,39,34
4/20/2016,Norwich City,31,34
4/20/2016,Sunderland,30,33
4/20/2016,Newcastle Utd,29,34
4/20/2016,Aston Villa,16,34
4/21/2016,Leicester City,73,34
4/21/2016,Tottenham,68,34
4/21/2016,Manchester City,61,34
4/21/2016,Arsenal,60,33
4/21/2016,Manchester Utd,59,34
4/21/2016,West Ham,56,34
4/21/2016,Liverpool,54,33
4/21/2016,Southampton,51,34
4/21/2016,Stoke City,47,34
4/21/2016,Chelsea,44,33
4/21/2016,Everton,41,34
4/21/2016,Watford,41,34
4/21/2016,Bournemouth,41,34
4/21/2016,West Brom,40,33
4/21/2016,Swansea City,40,34
4/21/2016,Crystal Palace,39,35
4/21/2016,Norwich City,31,34
4/21/2016,Sunderland,30,33
4/21/2016,Newcastle Utd,29,34
4/21/2016,Aston Villa,16,34
4/23/2016,Leicester City,73,34
4/23/2016,Tottenham,68,34
4/23/2016,Arsenal,63,34
4/23/2016,Manchester City,61,34
4/23/2016,Manchester Utd,59,34
4/23/2016,West Ham,56,34
4/23/2016,Liverpool,54,33
4/23/2016,Southampton,51,34
4/23/2016,Stoke City,47,34
4/23/2016,Chelsea,44,33
4/23/2016,Everton,41,34
4/23/2016,Watford,41,34
4/23/2016,Bournemouth,41,34
4/23/2016,Swansea City,40,34
4/23/2016,West Brom,40,34
4/23/2016,Crystal Palace,39,35
4/23/2016,Norwich City,31,34
4/23/2016,Sunderland,30,33
4/23/2016,Newcastle Utd,29,34
4/23/2016,Aston Villa,16,34
4/24/2016,Leicester City,73,34
4/24/2016,Tottenham,68,34
4/24/2016,Manchester City,64,35
4/24/2016,Arsenal,63,34
4/24/2016,Manchester Utd,59,34
4/24/2016,West Ham,56,34
4/24/2016,Liverpool,55,34
4/24/2016,Southampton,54,35
4/24/2016,Chelsea,47,34
4/24/2016,Stoke City,47,35
4/24/2016,Everton,41,34
4/24/2016,Watford,41,34
4/24/2016,Bournemouth,41,35
4/24/2016,Swansea City,40,34
4/24/2016,West Brom,40,34
4/24/2016,Crystal Palace,39,35
4/24/2016,Norwich City,31,34
4/24/2016,Sunderland,30,33
4/24/2016,Newcastle Utd,30,35
4/24/2016,Aston Villa,16,35
4/25/2016,Leicester City,76,35
4/25/2016,Tottenham,68,34
4/25/2016,Manchester City,64,35
4/25/2016,Arsenal,64,35
4/25/2016,Manchester Utd,59,34
4/25/2016,West Ham,56,34
4/25/2016,Liverpool,55,34
4/25/2016,Southampton,54,35
4/25/2016,Chelsea,47,34
4/25/2016,Stoke City,47,35
4/25/2016,Everton,41,34
4/25/2016,Watford,41,34
4/25/2016,Bournemouth,41,35
4/25/2016,West Brom,40,34
4/25/2016,Swansea City,40,35
4/25/2016,Crystal Palace,39,35
4/25/2016,Sunderland,31,34
4/25/2016,Norwich City,31,34
4/25/2016,Newcastle Utd,30,35
4/25/2016,Aston Villa,16,35
4/30/2016,Leicester City,76,35
4/30/2016,Tottenham,69,35
4/30/2016,Manchester City,64,35
4/30/2016,Arsenal,64,35
4/30/2016,Manchester Utd,59,34
4/30/2016,West Ham,56,34
4/30/2016,Liverpool,55,34
4/30/2016,Southampton,54,35
4/30/2016,Chelsea,47,34
4/30/2016,Stoke City,47,35
4/30/2016,Everton,41,34
4/30/2016,Watford,41,34
4/30/2016,West Brom,41,35
4/30/2016,Bournemouth,41,35
4/30/2016,Swansea City,40,35
4/30/2016,Crystal Palace,39,35
4/30/2016,Sunderland,31,34
4/30/2016,Norwich City,31,34
4/30/2016,Newcastle Utd,30,35
4/30/2016,Aston Villa,16,35
5/1/2016,Leicester City,76,35
5/1/2016,Tottenham,69,35
5/1/2016,Arsenal,67,36
5/1/2016,Manchester City,64,35
5/1/2016,West Ham,59,35
5/1/2016,Manchester Utd,59,34
5/1/2016,Liverpool,55,34
5/1/2016,Southampton,54,35
5/1/2016,Stoke City,48,36
5/1/2016,Chelsea,47,34
5/1/2016,Everton,44,35
5/1/2016,Watford,44,35
5/1/2016,West Brom,41,36
5/1/2016,Bournemouth,41,36
5/1/2016,Swansea City,40,35
5/1/2016,Crystal Palace,39,36
5/1/2016,Newcastle Utd,33,36
5/1/2016,Sunderland,32,35
5/1/2016,Norwich City,31,35
5/1/2016,Aston Villa,16,36
5/2/2016,Leicester City,77,36
5/2/2016,Tottenham,69,35
5/2/2016,Arsenal,67,36
5/2/2016,Manchester City,64,36
5/2/2016,Manchester Utd,60,35
5/2/2016,West Ham,59,35
5/2/2016,Southampton,57,36
5/2/2016,Liverpool,55,35
5/2/2016,Stoke City,48,36
5/2/2016,Chelsea,47,34
5/2/2016,Everton,44,35
5/2/2016,Watford,44,35
5/2/2016,Swansea City,43,36
5/2/2016,West Brom,41,36
5/2/2016,Bournemouth,41,36
5/2/2016,Crystal Palace,39,36
5/2/2016,Newcastle Utd,33,36
5/2/2016,Sunderland,32,35
5/2/2016,Norwich City,31,35
5/2/2016,Aston Villa,16,36
5/7/2016,Leicester City,77,36
5/7/2016,Tottenham,70,36
5/7/2016,Arsenal,67,36
5/7/2016,Manchester City,64,36
5/7/2016,Manchester Utd,60,35
5/7/2016,West Ham,59,35
5/7/2016,Southampton,57,36
5/7/2016,Liverpool,55,35
5/7/2016,Chelsea,48,35
5/7/2016,Stoke City,48,36
5/7/2016,Everton,44,35
5/7/2016,Watford,44,35
5/7/2016,Swansea City,43,36
5/7/2016,West Brom,41,36
5/7/2016,Bournemouth,41,36
5/7/2016,Crystal Palace,39,36
5/7/2016,Newcastle Utd,33,36
5/7/2016,Sunderland,32,35
5/7/2016,Norwich City,31,35
5/7/2016,Aston Villa,16,36
5/8/2016,Leicester City,80,37
5/8/2016,Tottenham,70,36
5/8/2016,Arsenal,67,36
5/8/2016,Manchester City,64,36
5/8/2016,Manchester Utd,63,36
5/8/2016,West Ham,59,36
5/8/2016,Southampton,57,36
5/8/2016,Liverpool,55,35
5/8/2016,Chelsea,48,36
5/8/2016,Stoke City,48,37
5/8/2016,Swansea City,46,37
5/8/2016,Everton,44,36
5/8/2016,Watford,44,35
5/8/2016,Crystal Palace,42,37
5/8/2016,West Brom,42,37
5/8/2016,Bournemouth,42,37
5/8/2016,Sunderland,35,36
5/8/2016,Newcastle Utd,34,37
5/8/2016,Norwich City,31,36
5/8/2016,Aston Villa,17,37
5/10/2016,Leicester City,80,37
5/10/2016,Tottenham,70,37
5/10/2016,Arsenal,68,37
5/10/2016,Manchester City,65,37
5/10/2016,Manchester Utd,63,36
5/10/2016,Southampton,60,37
5/10/2016,West Ham,59,36
5/10/2016,Liverpool,58,36
5/10/2016,Chelsea,48,36
5/10/2016,Stoke City,48,37
5/10/2016,Swansea City,46,37
5/10/2016,Everton,44,36
5/10/2016,Watford,44,36
5/10/2016,Crystal Palace,42,37
5/10/2016,West Brom,42,37
5/10/2016,Bournemouth,42,37
5/10/2016,Sunderland,35,36
5/10/2016,Newcastle Utd,34,37
5/10/2016,Norwich City,31,36
5/10/2016,Aston Villa,17,37
5/11/2016,Leicester City,80,37
5/11/2016,Tottenham,70,37
5/11/2016,Arsenal,68,37
5/11/2016,Manchester City,65,37
5/11/2016,Manchester Utd,63,37
5/11/2016,West Ham,62,37
5/11/2016,Southampton,60,37
5/11/2016,Liverpool,58,36
5/11/2016,Chelsea,48,36
5/11/2016,Stoke City,48,37
5/11/2016,Swansea City,46,37
5/11/2016,Everton,44,36
5/11/2016,Watford,44,36
5/11/2016,Crystal Palace,42,37
5/11/2016,West Brom,42,37
5/11/2016,Bournemouth,42,37
5/11/2016,Sunderland,35,36
5/11/2016,Newcastle Utd,34,37
5/11/2016,Norwich City,31,36
5/11/2016,Aston Villa,17,37
5/15/2016,Leicester City,80,37
5/15/2016,Tottenham,70,37
5/15/2016,Arsenal,68,37
5/15/2016,Manchester City,65,37
5/15/2016,Manchester Utd,63,37
5/15/2016,West Ham,62,37
5/15/2016,Southampton,60,37
5/15/2016,Liverpool,59,37
5/15/2016,Chelsea,49,37
5/15/2016,Stoke City,48,37
5/15/2016,Swansea City,46,37
5/15/2016,Everton,44,37
5/15/2016,Watford,44,37
5/15/2016,Crystal Palace,42,37
5/15/2016,West Brom,42,37
5/15/2016,Bournemouth,42,37
5/15/2016,Sunderland,38,37
5/15/2016,Newcastle Utd,34,37
5/15/2016,Norwich City,34,37
5/15/2016,Aston Villa,17,37
5/17/2016,Leicester City,81,38
5/17/2016,Arsenal,71,38
5/17/2016,Tottenham,70,38
5/17/2016,Manchester City,66,38
5/17/2016,Southampton,63,38
5/17/2016,Manchester Utd,63,37
5/17/2016,West Ham,62,38
5/17/2016,Liverpool,60,38
5/17/2016,Stoke City,51,38
5/17/2016,Chelsea,50,38
5/17/2016,Everton,47,38
5/17/2016,Swansea City,47,38
5/17/2016,Watford,45,38
5/17/2016,West Brom,43,38
5/17/2016,Crystal Palace,42,38
5/17/2016,Bournemouth,42,37
5/17/2016,Sunderland,39,38
5/17/2016,Newcastle Utd,37,38
5/17/2016,Norwich City,34,38
5/17/2016,Aston Villa,17,38
3/4/2017,Chelsea,63,26
3/4/2017,Tottenham,53,26
3/4/2017,Manchester City,52,25
3/4/2017,Arsenal,50,25
3/4/2017,Liverpool,49,26
3/4/2017,Manchester Utd,48,25
3/4/2017,Everton,44,26
3/4/2017,West Brom,40,26
3/4/2017,West Ham,33,26
3/4/2017,Stoke City,32,26
3/4/2017,Burnley,31,26
3/4/2017,Watford,31,26
3/4/2017,Southampton,30,25
3/4/2017,Bournemouth,26,26
3/4/2017,Leicester City,24,26
3/4/2017,Swansea City,24,26
3/4/2017,Middlesbrough,22,26
3/4/2017,Crystal Palace,22,26
3/4/2017,Hull City,21,26
3/4/2017,Sunderland,19,26
3/5/2017,Chelsea,63,26
3/5/2017,Tottenham,53,26
3/5/2017,Liverpool,52,27
3/5/2017,Manchester City,52,25
3/5/2017,Arsenal,50,26
3/5/2017,Manchester Utd,49,26
3/5/2017,Everton,44,26
3/5/2017,West Brom,40,27
3/5/2017,Stoke City,35,27
3/5/2017,Southampton,33,26
3/5/2017,West Ham,33,26
3/5/2017,Burnley,31,27
3/5/2017,Watford,31,27
3/5/2017,Bournemouth,27,27
3/5/2017,Leicester City,27,27
3/5/2017,Swansea City,27,27
3/5/2017,Crystal Palace,25,27
3/5/2017,Middlesbrough,22,27
3/5/2017,Hull City,21,27
3/5/2017,Sunderland,19,26
3/6/2017,Chelsea,63,26
3/6/2017,Tottenham,56,27
3/6/2017,Manchester City,55,26
3/6/2017,Liverpool,52,27
3/6/2017,Arsenal,50,26
3/6/2017,Manchester Utd,49,26
3/6/2017,Everton,44,27
3/6/2017,West Brom,40,27
3/6/2017,Stoke City,35,27
3/6/2017,Southampton,33,26
3/6/2017,West Ham,33,26
3/6/2017,Burnley,31,27
3/6/2017,Watford,31,27
3/6/2017,Bournemouth,27,27
3/6/2017,Leicester City,27,27
3/6/2017,Swansea City,27,27
3/6/2017,Crystal Palace,25,27
3/6/2017,Middlesbrough,22,27
3/6/2017,Hull City,21,27
3/6/2017,Sunderland,19,27
3/8/2017,Chelsea,66,27
3/8/2017,Tottenham,56,27
3/8/2017,Manchester City,55,26
3/8/2017,Liverpool,52,27
3/8/2017,Arsenal,50,26
3/8/2017,Manchester Utd,49,26
3/8/2017,Everton,44,27
3/8/2017,West Brom,40,27
3/8/2017,Stoke City,35,27
3/8/2017,Southampton,33,26
3/8/2017,West Ham,33,27
3/8/2017,Burnley,31,27
3/8/2017,Watford,31,27
3/8/2017,Bournemouth,27,27
3/8/2017,Leicester City,27,27
3/8/2017,Swansea City,27,27
3/8/2017,Crystal Palace,25,27
3/8/2017,Middlesbrough,22,27
3/8/2017,Hull City,21,27
3/8/2017,Sunderland,19,27
3/11/2017,Chelsea,66,27
3/11/2017,Tottenham,56,27
3/11/2017,Manchester City,56,27
3/11/2017,Liverpool,52,27
3/11/2017,Arsenal,50,26
3/11/2017,Manchester Utd,49,26
3/11/2017,Everton,44,27
3/11/2017,West Brom,40,27
3/11/2017,Stoke City,36,28
3/11/2017,Southampton,33,26
3/11/2017,West Ham,33,27
3/11/2017,Burnley,31,27
3/11/2017,Watford,31,27
3/11/2017,Bournemouth,27,27
3/11/2017,Leicester City,27,27
3/11/2017,Swansea City,27,27
3/11/2017,Crystal Palace,25,27
3/11/2017,Middlesbrough,22,27
3/11/2017,Hull City,21,27
3/11/2017,Sunderland,19,27
3/12/2017,Chelsea,66,27
3/12/2017,Tottenham,56,27
3/12/2017,Manchester City,56,27
3/12/2017,Liverpool,52,27
3/12/2017,Arsenal,50,26
3/12/2017,Manchester Utd,49,26
3/12/2017,Everton,47,28
3/12/2017,West Brom,40,28
3/12/2017,Stoke City,36,28
3/12/2017,Southampton,33,26
3/12/2017,West Ham,33,28
3/12/2017,Burnley,31,27
3/12/2017,Watford,31,27
3/12/2017,Bournemouth,30,28
3/12/2017,Leicester City,27,27
3/12/2017,Swansea City,27,28
3/12/2017,Crystal Palace,25,27
3/12/2017,Hull City,24,28
3/12/2017,Middlesbrough,22,27
3/12/2017,Sunderland,19,27
3/18/2017,Chelsea,66,27
3/18/2017,Tottenham,56,27
3/18/2017,Manchester City,56,27
3/18/2017,Liverpool,55,28
3/18/2017,Arsenal,50,26
3/18/2017,Manchester Utd,49,26
3/18/2017,Everton,47,28
3/18/2017,West Brom,40,28
3/18/2017,Stoke City,36,28
3/18/2017,Southampton,33,26
3/18/2017,West Ham,33,28
3/18/2017,Burnley,31,28
3/18/2017,Watford,31,27
3/18/2017,Bournemouth,30,28
3/18/2017,Leicester City,27,27
3/18/2017,Swansea City,27,28
3/18/2017,Crystal Palace,25,27
3/18/2017,Hull City,24,28
3/18/2017,Middlesbrough,22,27
3/18/2017,Sunderland,19,27
3/19/2017,Chelsea,69,28
3/19/2017,Tottenham,56,27
3/19/2017,Manchester City,56,27
3/19/2017,Liverpool,55,28
3/19/2017,Arsenal,50,27
3/19/2017,Everton,50,29
3/19/2017,Manchester Utd,49,26
3/19/2017,West Brom,43,29
3/19/2017,Stoke City,36,29
3/19/2017,Southampton,33,26
3/19/2017,Bournemouth,33,29
3/19/2017,West Ham,33,29
3/19/2017,Burnley,32,29
3/19/2017,Watford,31,28
3/19/2017,Leicester City,30,28
3/19/2017,Crystal Palace,28,28
3/19/2017,Swansea City,27,29
3/19/2017,Hull City,24,29
3/19/2017,Middlesbrough,22,27
3/19/2017,Sunderland,20,28
4/1/2017,Chelsea,69,28
4/1/2017,Tottenham,59,28
4/1/2017,Manchester City,57,28
4/1/2017,Liverpool,56,29
4/1/2017,Manchester Utd,52,27
4/1/2017,Arsenal,50,27
4/1/2017,Everton,50,29
4/1/2017,West Brom,43,29
4/1/2017,Stoke City,36,29
4/1/2017,Southampton,33,27
4/1/2017,Bournemouth,33,29
4/1/2017,West Ham,33,29
4/1/2017,Burnley,32,29
4/1/2017,Watford,31,28
4/1/2017,Leicester City,30,28
4/1/2017,Crystal Palace,28,28
4/1/2017,Swansea City,27,29
4/1/2017,Hull City,24,29
4/1/2017,Middlesbrough,22,28
4/1/2017,Sunderland,20,28
4/2/2017,Chelsea,69,29
4/2/2017,Tottenham,62,29
4/2/2017,Liverpool,59,30
4/2/2017,Manchester City,57,28
4/2/2017,Manchester Utd,53,28
4/2/2017,Arsenal,50,27
4/2/2017,Everton,50,30
4/2/2017,West Brom,44,30
